,Price,Bedrooms,Bathrooms,type,deposit,rooms_available,Gas,Electricity,Water,Internet,Fridge,Freezer,Oven,Microwave,Dishwasher,Washing machine,Dryer,Furnished,Double glazing,Separate lounge,Bath,Shower,Alarm,Fire alarm,Garden,Off road parking,Garage,Wifi,Sky/Cable package,Energy performance certificate,Gas safe registered,Electrical safety certificate,NRLA registered,month,year,city,postcode,latitude,longitude
0,120.0,4.0,1.0,house,300.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,July,2024, Leicester,LE2 1WD,52.616,-1.12214
1,109.0,4.0,1.0,house,150.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,July,2024, Derby,DE22 3BD,52.92808062391305,-1.498682093478261
2,123.0,5.0,2.0,house,123.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,August,2024, Portsmouth,PO1 5DP,50.80015,-1.07551
3,130.0,6.0,2.0,house,296.0,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Cheltenham,GL50 4LG,51.90667776458333,-2.074360975
4,125.0,5.0,1.0,house,300.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,August,2024, Portsmouth,PO5 4PX,50.7929485,-1.085845
5,125.0,5.0,1.0,house,300.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,August,2024, Portsmouth,PO4 0ND,50.78955,-1.07507
6,125.0,5.0,2.0,house,300.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,August,2024, Portsmouth,PO4 0AA,50.79535,-1.07448
7,125.0,5.0,2.0,house,300.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,August,2024, Portsmouth,PO4 0BD,50.79359,-1.07161
8,150.0,1.0,1.0,studio,500.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,July,2024, Sheffield,S10 2TQ,53.3802565,-1.4882145
9,130.0,6.0,2.0,house,300.0,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Cheltenham,GL51 9HX,51.908470726666664,-2.085653086666667
10,152.0,6.0,2.0,house,195.0,6.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,September,2024, Newcastle,NE2 1BN,54.9822024,-1.6008777
11,138.0,5.0,1.0,house,200.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L18 1EH,53.38926,-2.91897
12,100.0,8.0,2.0,house,,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L15 3JH,53.3923599,-2.92801
13,115.0,5.0,2.0,house,,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L15 3HQ,53.3939499,-2.92867
14,120.0,5.0,2.0,house,100.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L18 1JE,53.38759,-2.92402
15,120.0,5.0,2.0,house,100.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L18 1ED,53.38951,-2.92101
16,110.0,5.0,2.0,house,,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L15 9EU,53.39071,-2.91242
17,120.0,6.0,2.0,house,100.0,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L18 1ET,53.38859,-2.91885
18,120.0,8.0,2.0,house,,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L18 1HY,53.3889,-2.92436
19,120.0,5.0,2.0,house,200.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L15 3HT,53.3945999,-2.9304199
20,120.0,6.0,2.0,house,200.0,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L18 1DE,53.3875,-2.91865
21,120.0,7.0,2.0,house,200.0,7.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L18 1EX,53.38771,-2.9243199
22,130.0,5.0,1.0,house,200.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L18 1EZ,53.38759,-2.9209299
23,115.0,6.0,2.0,house,,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Liverpool,L18 1ED,53.38951,-2.92101
24,140.0,8.0,3.0,house,350.0,8.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,July,2024, Liverpool,L15 2HQ,53.39559,-2.93559
25,91.15,2.0,1.0,flat,200.0,2.0,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,May,2024, Dundee,DD2 2NJ,56.46482,-2.99464
26,135.0,6.0,3.0,house,300.0,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,July,2024, Cheltenham,GL51 8NS,51.902197642105264,-2.091132689473684
