Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes,Latitude,Longitude
AB,Aberdeen,499692,218798,39196,17340,5,57.2997,-2.30673
AL,St Albans,249911,99209,11459,7804,0,51.7756,-0.283296
B,Birmingham,1904293,750842,62410,41913,0,52.465,-1.88856
BA,Bath,434539,183530,20472,15477,0,51.229,-2.41709
BB,Blackburn,488564,202015,19239,13521,0,53.787,-2.3348
BD,Bradford,578374,223952,23765,17224,12,53.8291,-1.82921
BF,British Forces,,,48,48,0,36.3495,-4.67733
BH,Bournemouth,552110,242907,22599,15266,0,50.7506,-1.89129
BL,Bolton,379929,159979,14078,10372,0,53.5868,-2.40783
BN,Brighton,802838,356367,35687,22353,1,50.829,-0.120331
BR,Bromley,299157,124954,10722,6824,0,51.3943,0.042413
BS,Bristol,940076,398197,46318,27245,0,51.449,-2.62231
BT,Northern Ireland,1787720,693967,62779,49908,851,54.6041,-6.38093
CA,Carlisle,318114,140587,16502,12833,0,54.7318,-3.10711
CB,Cambridge,421151,167640,19550,11018,0,52.2069,0.18945
CF,Cardiff,1005305,419896,42899,23371,0,51.5342,-3.29404
CH,Chester,659880,285880,24639,19035,0,53.2905,-3.02016
CM,Chelmsford,653626,270044,28068,18435,0,51.7589,0.403342
CO,Colchester,411411,176939,18516,13642,0,51.9025,0.92464
CR,Croydon,405236,158695,15032,8028,0,51.3561,-0.103549
CT,Canterbury,482627,206290,20224,15173,0,51.2555,1.23176
CV,Coventry,821033,341504,28960,20973,0,52.3669,-1.50054
CW,Crewe,309487,130803,14375,9763,0,53.1548,-2.44977
DA,Dartford,430139,173329,13236,9190,0,51.4423,0.221686
DD,Dundee,280568,128312,11502,9080,0,56.5369,-2.86432
DE,Derby,730125,306586,30648,17799,0,52.9327,-1.49254
DG,Dumfries and Galloway,151139,67885,7812,6889,3,55.0231,-3.87792
DH,Durham,309030,132814,11687,9133,0,54.825,-1.61302
DL,Darlington,360734,156814,16951,13460,0,54.5327,-1.6587
DN,Doncaster,756058,320303,28405,22122,0,53.541,-0.72225
DT,Dorchester,212796,93053,10038,7900,0,50.755,-2.48163
DY,Dudley,410847,171692,14654,11077,0,52.4534,-2.17695
E,East London,989043,370613,29402,16835,1,51.5433,-0.0156697
EC,Central London,33956,17102,12629,3650,0,51.5188,-0.0968141
EH,Edinburgh,868113,389353,33273,25044,11,55.9266,-3.22774
EN,Enfield,344780,137907,13284,8547,60,51.6819,-0.0863076
EX,Exeter,547401,235895,29267,22718,1,50.827,-3.65769
FK,Falkirk and Stirling,276371,119790,9751,7785,0,56.0772,-3.85956
FY,Blackpool,276593,125986,10269,7395,0,53.825,-3.02264
G,Glasgow,1183614,540601,47490,32252,2,55.8687,-4.268
GL,Gloucester,605458,257602,29340,21499,0,51.8365,-2.17741
GU,Guildford,726120,288537,36397,22517,0,51.2314,-0.717796
HA,Harrow,480678,169132,17859,10257,0,51.5853,-0.335928
HD,Huddersfield,262843,111694,10838,7186,0,53.6301,-1.7825
HG,Harrogate,138214,59455,6437,4482,0,54.0374,-1.54552
HP,Hemel Hempstead,488592,195951,22269,14093,0,51.725,-0.691818
HR,Hereford,176308,75400,8062,6510,0,52.065,-2.72053
HS,Outer Hebrides,27663,12565,1110,976,0,57.9777,-6.69519
HU,Hull,443219,191836,15619,11225,0,53.7685,-0.354396
HX,Halifax,160137,68980,7513,5701,0,53.7204,-1.89264
IG,Ilford,335693,119754,10279,6065,0,51.584,0.0721579
IP,Ipswich,595883,252895,27543,21594,0,52.1956,1.08088
IV,Inverness,228056,98990,10970,7507,3,57.5858,-4.11603
KA,Kilmarnock,370877,166467,14385,11760,2,55.5642,-4.60686
KT,Kingston upon Thames,529633,214274,22747,14232,0,51.3599,-0.343508
KW,Kirkwall,53132,24290,2126,1858,0,58.6544,-3.28204
KY,Kirkcaldy,363956,160089,13370,10246,1,56.1627,-3.21167
L,Liverpool,856675,370680,43824,20754,0,53.4163,-2.96237
LA,Lancaster,328926,143213,14922,11930,0,54.1711,-2.90409
LD,Llandrindod Wells,50225,22291,2687,2220,0,52.1284,-3.3418
LE,Leicester,985352,391460,35401,23041,0,52.6441,-1.14911
LL,Llandudno,537252,232655,24601,20255,0,53.1337,-3.71566
LN,Lincoln,293141,126372,12263,9463,0,53.2566,-0.357823
LS,Leeds,774677,330676,32551,21999,0,53.8226,-1.55243
LU,Luton,336095,129149,10694,6404,0,51.8965,-0.510017
M,Manchester,1167414,492884,59687,32205,2,53.4788,-2.27173
ME,Rochester,606891,245786,22937,16938,0,51.3334,0.585062
MK,Milton Keynes,508035,202926,23454,15968,0,52.0621,-0.666135
ML,Motherwell,382997,168005,11984,9815,0,55.7765,-3.94431
N,North London,847197,344938,30129,17613,200,51.5854,-0.114205
NE,Newcastle upon Tyne,1162976,510229,45966,33663,1,55.0367,-1.64203
NG,Nottingham,1163617,493228,38209,29513,0,53.0055,-1.0715
NN,Northampton,653055,272356,25703,16827,0,52.2891,-0.840113
NP,Newport,488569,206539,28337,13881,0,51.6726,-3.01537
NR,Norwich,722618,315784,28911,24087,0,52.6457,1.33946
NW,North West London,553732,222208,26265,14168,99,51.555,-0.197141
OL,Oldham,462590,188194,17908,13175,0,53.5816,-2.12595
OX,Oxford,613492,242551,35760,20365,0,51.7951,-1.29075
PA,Paisley,321350,148778,13141,9493,1,56.0678,-4.907
PE,Peterborough,890470,373108,39968,27379,0,52.6266,-0.0456604
PH,Perth,165118,73021,7548,6194,0,56.5628,-3.73453
PL,Plymouth,543016,232152,23024,17888,0,50.4278,-4.32806
PO,Portsmouth,822540,352453,33498,24362,1,50.8023,-1.03411
PR,Preston,520366,219388,20561,13514,0,53.7232,-2.75209
RG,Reading,778419,314408,46349,23652,0,51.4045,-1.02703
RH,Redhill,531923,217143,24788,16306,0,51.1103,-0.207848
RM,Romford,517305,205322,15616,10000,0,51.5468,0.217142
S,Sheffield,1358186,578058,50273,34299,2,53.3933,-1.41141
SA,Swansea,730075,315791,29639,23307,0,51.7605,-4.20652
SE,South East London,988126,412444,35350,20850,226,51.4669,-0.0355981
SG,Stevenage,402479,167182,17318,12095,0,51.9469,-0.159208
SK,Stockport,603540,260549,25441,16632,0,53.3711,-2.09849
SL,Slough,373407,144554,16871,10677,0,51.5151,-0.642164
SM,Sutton,217171,87907,6790,4357,0,51.3628,-0.184365
SN,Swindon,458798,191252,21888,14609,0,51.5061,-1.8934
SO,Southampton,665472,276330,40648,18500,0,50.93,-1.39147
SP,Salisbury,232282,94658,11553,8698,0,51.1088,-1.77943
SR,Sunderland,250843,109612,8954,6770,166,54.8765,-1.38959
SS,Southend-on-Sea,518631,216682,17552,11979,0,51.5624,0.599283
ST,Stoke-on-Trent,644416,275646,22931,17774,0,52.9773,-2.14614
SW,South West London,877183,382790,37211,20079,0,51.4639,-0.167498
SY,Shrewsbury,341952,144660,17485,14588,1,52.6644,-3.0468
TA,Taunton,322408,139414,15111,12020,0,51.0556,-3.06625
TD,Galashiels,112644,52111,5308,4525,0,55.6152,-2.52393
TF,Telford,212536,85637,9481,7137,0,52.713,-2.46207
TN,Tonbridge,681747,286228,33312,23062,0,51.0851,0.442505
TQ,Torquay,281112,125365,13387,10075,0,50.4589,-3.6162
TR,Truro,294061,127803,15771,12417,0,50.2124,-5.24158
TS,Cleveland,602320,256341,23257,17760,0,54.5849,-1.22416
TW,Twickenham,491918,193508,20453,11063,3,51.4487,-0.389852
UB,Southall,371413,126879,11737,7228,0,51.5276,-0.416778
W,West London,531690,236493,40449,18637,0,51.5114,-0.193602
WA,Warrington,616482,261804,26033,18304,0,53.3905,-2.59114
WC,Central London,35745,15757,7494,2593,0,51.5177,-0.122498
WD,Watford,256476,103336,16119,7418,1,51.6586,-0.393637
WF,Wakefield,512784,214107,18653,14677,0,53.6856,-1.49563
WN,Wigan,309156,131514,9350,7266,0,53.5344,-2.63727
WR,Worcester,287838,122730,12821,8946,0,52.1633,-2.16906
WS,Walsall,449728,181669,15118,10279,0,52.6496,-1.95681
WV,Wolverhampton,396187,162933,14407,10558,110,52.5809,-2.16202
YO,York,562761,242140,34987,19126,0,54.0453,-0.886288
ZE,Lerwick,23086,9915,754,654,0,60.2188,-1.19887
